T_eV,sigma_pwba,corr_stage1_mc,corr_stage2_rel_long,corr_stage3_rel_trans,corr_stage4_density,sigma_corrected,use_mc,use_rel_long,use_rel_trans,use_density_effect
290.3526884977814,1.6214650672795307e-20,-3.1029978010287677e-21,0.0,0.0,0.0,1.311165287176654e-20,1,0,0,0
297.1295818577334,1.600835300501805e-20,-3.018929201138735e-21,0.0,0.0,0.0,1.2989423803879313e-20,1,0,0,0
304.06464934670686,1.5799865332805663e-20,-2.9361839530002696e-21,0.0,0.0,0.0,1.2863681379805393e-20,1,0,0,0
311.1615827824363,1.5460350718735557e-20,-2.846430338855344e-21,0.0,0.0,0.0,1.2613920379880213e-20,1,0,0,0
318.4241601504653,1.5262582411963498e-20,-2.7678902494507897e-21,0.0,0.0,0.0,1.2494692162512709e-20,1,0,0,0
325.85624761532233,1.5037556025240825e-20,-2.6873275154287342e-21,0.0,0.0,0.0,1.2350228509812091e-20,1,0,0,0
333.46180157863625,1.4841227378919925e-20,-2.611677691387781e-21,0.0,0.0,0.0,1.2229549687532144e-20,1,0,0,0
341.2448707852889,1.4630452126036595e-20,-2.5359419121021935e-21,0.0,0.0,0.0,1.2094510213934401e-20,1,0,0,0
349.2095984787271,1.4388344497506205e-20,-2.456487370249025e-21,0.0,0.0,0.0,1.193185712725718e-20,1,0,0,0
357.3602246065788,1.4190652476075378e-20,-2.3857151113508848e-21,0.0,0.0,0.0,1.1804937364724493e-20,1,0,0,0
365.7010880777493,1.3968274401574514e-20,-2.312722112803244e-21,0.0,0.0,0.0,1.165555228877127e-20,1,0,0,0
374.23662907219807,1.3777132510983245e-20,-2.2447762205722966e-21,0.0,0.0,0.0,1.1532356290410948e-20,1,0,0,0
382.9713914046281,1.3559263440579356e-20,-2.1751207863333718e-21,0.0,0.0,0.0,1.1384142654245984e-20,1,0,0,0
391.9100249433402,1.3360997447705005e-20,-2.1088527283978743e-21,0.0,0.0,0.0,1.125214471930713e-20,1,0,0,0
401.0572880855496,1.3146463129486419e-20,-2.0425380057230615e-21,0.0,0.0,0.0,1.1103925123763358e-20,1,0,0,0
410.41805029047094,1.2971102005670887e-20,-1.981471597442208e-21,0.0,0.0,0.0,1.0989630408228679e-20,1,0,0,0
