pair,r_angstrom,single_configuration_g,epsr_mean_g
OO,6.734999999999999,1.1071517845742544,1.0530361938666666
OO,6.765,1.1146741768918342,1.0509305530666666
OO,6.795,1.025146923305165,1.046814427552415
OO,6.824999999999999,1.0659897909506852,1.0427021427666667
OO,6.855,1.0386066935569787,1.0383133331333332
OO,6.885,1.039130612180945,1.0333742632666667
OO,6.914999999999999,1.0017163808083156,1.0287869364666669
OO,6.945,1.037687421340904,1.021743696743442
OO,6.975,0.9950307085132505,1.0141212998
OO,7.004999999999999,0.9542189329734443,1.0076539612000002
OO,7.035,1.0204587536206744,0.9987100248999999
OO,7.0649999999999995,0.8983791404105524,0.9884272674810841
OO,7.095,0.9886507296124866,0.9800932828666669
OO,7.125,0.9691898566265477,0.9742897657
OO,7.154999999999999,0.9389603221381376,0.9688096278500001
OO,7.185,1.0210687103393103,0.9624080302733334
OO,7.215,0.9070938382067272,0.9564783772840906
OO,7.244999999999999,0.9740243473608148,0.9525946008
OO,7.275,0.9467517634367749,0.9504481115333333
OO,7.305,0.9559676650664619,0.9483762504666667
OO,7.334999999999999,0.9397451216196273,0.9476433248666667
OO,7.365,0.9498493989551633,0.9467891003766541
OO,7.395,0.9649358075821225,0.9465629285299999
OO,7.425,1.0033686320001562,0.94691787699
OO,7.455,0.9453912041402345,0.94823527431
OO,7.484999999999999,0.9681458342406615,0.9501069585999999
OO,7.515,0.9634391802899898,0.9521845630978967
OO,7.545,0.9498253885326617,0.95630196368
OO,7.574999999999999,0.961064593298149,0.9617876380599998
OO,7.605,0.9368550466444825,0.9671483025133334
OO,7.635,1.0004100499404551,0.9712490631545615
OO,7.664999999999999,0.9694659734482399,0.9756166591366665
OO,7.695,0.9313236278570632,0.9822562053133335
OO,7.725,1.0303665850542674,0.9892504742333333
OO,7.754999999999999,0.9452115713829102,0.9944335784999998
OO,7.785,0.986519353668828,1.0008694207526416
OO,7.8149999999999995,0.9826680367954098,1.0079563712
OO,7.845,1.0193252868170228,1.0140678511999999
OO,7.875,1.0261813651377436,1.0212421664
OO,7.904999999999999,1.0492132160141505,1.0270884863999998
OO,7.935,1.0610774636024487,1.03137106809773
OO,7.965,0.9995520443398495,1.0364954825
OO,7.994999999999999,0.7334193329914842,1.0417039289642986
OH,0.015,0.0,0.0
OH,0.045,0.0,0.0
OH,0.075,0.0,0.0
OH,0.105,0.0,0.0
OH,0.135,0.0,0.0
OH,0.16499999999999998,0.0,0.0
OH,0.195,0.0,0.0
OH,0.22499999999999998,0.0,0.0
OH,0.255,0.0,0.0
OH,0.28500000000000003,0.0,0.0
OH,0.31499999999999995,0.0,0.0
OH,0.345,0.0,0.0
OH,0.375,0.0,0.0
OH,0.405,0.0,0.0
OH,0.43499999999999994,0.0,0.0
OH,0.46499999999999997,0.0,0.0
OH,0.495,0.0,0.0
OH,0.525,0.0,0.0
OH,0.5549999999999999,0.0,0.0
OH,0.585,0.0,0.0
OH,0.615,0.0,0.0
OH,0.645,0.0,0.0
OH,0.6749999999999999,0.0,0.0
OH,0.705,0.0,0.0
OH,0.735,0.0,0.0
OH,0.765,0.0,0.0
OH,0.7949999999999999,0.0,0.0
OH,0.825,0.0,0.0
OH,0.855,0.0,0.0
OH,0.885,0.0,0.0
OH,0.9149999999999999,0.0,0.0
OH,0.945,0.0,0.0
OH,0.975,0.0,0.0
OH,1.005,0.0,0.0
OH,1.0350000000000001,0.0,0.0
OH,1.065,0.0,0.0
OH,1.095,0.0,0.0
OH,1.125,0.0,0.0
OH,1.1549999999999998,0.0,8.901573398666552e-06
OH,1.185,0.0,8.634094896133345e-05
OH,1.2149999999999999,0.0,0.0004314688386399964
OH,1.245,0.0,0.0016042412434333349
OH,1.275,0.00870680996628079,0.00510835635663332
OH,1.305,0.0,0.01286948454060001
OH,1.335,0.04765076910345974,0.029071661578333352
OH,1.3649999999999998,0.04557933009880102,0.060305105610666404
OH,1.395,0.1381935965682501,0.1156048009693334
OH,1.4249999999999998,0.15334738817551508,0.1972622528099994
OH,1.455,0.34766537718270235,0.3056185708766668
OH,1.4849999999999999,0.4492931879348789,0.4377981910599991
OH,1.5150000000000001,0.6166802144461586,0.5869435019233334
OH,1.545,0.7767837903924983,0.7585996917599995
OH,1.575,0.9129462466034757,0.9523446745366669
OH,1.605,1.1758462194429962,1.163831874566667
OH,1.6349999999999998,1.4772567270598018,1.381174114933332
OH,1.665,1.6491561125365233,1.580656683966667
OH,1.6949999999999998,1.9164536961084075,1.7371542493333325
OH,1.725,1.6315652485225858,1.8498712652000002
OH,1.755,1.9990511731922502,1.9161856559
OH,1.785,1.9324224079808943,1.915176777
OH,1.815,1.7659489589463886,1.8348333669666665
OH,1.8449999999999998,1.6840391556311423,1.6688370668000014
OH,1.875,1.3729099149825925,1.4366729556999998
OH,1.9049999999999998,1.1388942164606506,1.1721244077666684
OH,1.935,0.9110576855182605,0.9166425100299997
OH,1.9649999999999999,0.6341792521838777,0.7045634012466678
OH,1.9949999999999999,0.5761300157969927,0.5406207691466676
OH,2.025,0.37969437067819606,0.4205066731500003
OH,2.0549999999999997,0.33182056670599763,0.3356531198866674
OH,2.085,0.211637789557166,0.2752801828027601
OH,2.115,0.15821273961262172,0.2310238886666663
OH,2.145,0.23995643542853665,0.1954577191133333
OH,2.175,0.17354098459141348,0.16750775415333347
OH,2.205,0.18340709582639497,0.14446017281999995
OH,2.235,0.14167978862313166,0.12530697336666674
OH,2.2649999999999997,0.11312030474816193,0.11147353213333348
OH,2.295,0.11824440058780586,0.10119142189666672
OH,2.325,0.09164643499942605,0.09451556794733332
OH,2.355,0.07401330086065783,0.09262481990999999
OH,2.385,0.10700040809624332,0.09470808283066665
OH,2.415,0.11163938827913644,0.10022367754866668
OH,2.445,0.10891661301423525,0.10986284263333328
OH,2.4749999999999996,0.09473873997249191,0.12310917351999981
OH,2.505,0.15789808407081612,0.13709809167999992
OH,2.535,0.132156864405796,0.1524396538266667
OH,2.565,0.21083652885472512,0.17144958080000003
OH,2.5949999999999998,0.17866473348859388,0.19260413979999988
OH,2.625,0.23828358100239416,0.2162698655933334
OH,2.655,0.2550172280428975,0.24455835615999982
OH,2.6849999999999996,0.2552405816214846,0.2780871142933329
OH,2.715,0.3014775916137808,0.31584231970666643
OH,2.745,0.36442837210699963,0.36059734753333345
OH,2.775,0.4540108376717825,0.4129723357599997
OH,2.8049999999999997,0.48033127145089904,0.4726036149866658
OH,2.835,0.605825758773568,0.5414001578133334
OH,2.865,0.5828582538671555,0.6196000187400007
OH,2.8949999999999996,0.7312844610642,0.7061987777066655
OH,2.925,0.8420961966584736,0.8003133208199994
OH,2.955,0.9158602677057391,0.9010504607600002
OH,2.985,1.070698123352868,1.0103118573133327
OH,3.0149999999999997,1.1507094871514796,1.1251821087333318
OH,3.045,1.2273753964684129,1.2380304377333327
OH,3.075,1.3292869839798542,1.3440386968000002
OH,3.105,1.394750382640308,1.4376577858666668
OH,3.135,1.4675579215596042,1.5136789380979363
OH,3.165,1.6193227179640644,1.5708259039999999
OH,3.195,1.528045021142546,1.6080445401999999
OH,3.2249999999999996,1.6494513913645819,1.6221802874
OH,3.255,1.600483603995681,1.6130318834000001
OH,3.285,1.497931001715532,1.5813572820999997
OH,3.315,1.5404961654309484,1.533171581
OH,3.3449999999999998,1.5079278822176845,1.4733524554000006
OH,3.375,1.436504172024838,1.4039506644000002
OH,3.405,1.2672426560703727,1.3315738602000007
OH,3.4349999999999996,1.1936206094744493,1.2611025455000011
OH,3.465,1.2473144347541842,1.1967500838000005
OH,3.495,1.103162252949056,1.1421414942999997
OH,3.525,1.1004130543525357,1.0970704913
OH,3.5549999999999997,1.0931191475847182,1.0623075559000004
OH,3.585,1.0176316090549489,1.0342963418
OH,3.6149999999999998,1.0528018529756349,1.0121807349
OH,3.6449999999999996,0.9140905988629342,0.9965606410000002
OH,3.675,0.9925041968344358,0.9846643296700001
OH,3.705,0.9672160895256425,0.9751237621900001
OH,3.735,0.9507263156752973,0.9665958322100001
OH,3.7649999999999997,0.9316415650967914,0.9587199926100001
OH,3.795,0.9798707812955062,0.95169405218
OH,3.825,0.9239271681385444,0.94552016303
OH,3.8549999999999995,0.9572261990696294,0.9402080745300001
OH,3.885,0.9106143649353876,0.93410540499
OH,3.915,0.9308813848414449,0.92839830352
OH,3.945,0.9249629057539748,0.92344000486
OH,3.9749999999999996,0.8967207543428413,0.92029531609
OH,4.005,0.949521212168796,0.9179998749
OH,4.035,0.9067649010555924,0.9159226095599999
OH,4.0649999999999995,0.8994265421404615,0.9146217752741576
OH,4.095,0.9048664836789249,0.9127236766866667
OH,4.125,0.9375049456901414,0.9137314576466666
OH,4.154999999999999,0.9051584329475342,0.9178454408666666
