projectile,target,projectile_energy_ev,area_quantile,theta_cm_rad
H,H,1211.5276586285888,0.0390625,0.61298428628165791
H,H,1211.5276586285888,0.04296875,0.58547131354114956
H,H,1211.5276586285888,0.046875,0.56124155556306432
H,H,1211.5276586285888,0.05078125,0.53968365599990831
H,H,1211.5276586285888,0.0546875,0.52033494373236344
H,H,1211.5276586285888,0.05859375,0.50283791463749816
H,H,1211.5276586285888,0.0625,0.48691134077672693
H,H,1211.5276586285888,0.0703125,0.45891348230577744
H,H,1211.5276586285888,0.078125,0.43499945435037635
H,H,1211.5276586285888,0.0859375,0.41425145806615848
H,H,1211.5276586285888,0.09375,0.39601755798005644
H,H,1211.5276586285888,0.1015625,0.37982011929878334
H,H,1211.5276586285888,0.109375,0.36530007036064749
H,H,1211.5276586285888,0.1171875,0.35218151823636745
H,H,1211.5276586285888,0.125,0.34024847686915294
H,H,1211.5276586285888,0.140625,0.31928467180069076
H,H,1211.5276586285888,0.15625,0.30138700083132308
H,H,1211.5276586285888,0.171875,0.28586066841572988
H,H,1211.5276586285888,0.1875,0.27221429724366519
H,H,1211.5276586285888,0.203125,0.26008910518641981
H,H,1211.5276586285888,0.21875,0.2492160854548624
H,H,1211.5276586285888,0.234375,0.23938897466422837
H,H,1211.5276586285888,0.25,0.23044655721204599
H,H,1211.5276586285888,0.265625,0.22226071785061308
H,H,1211.5276586285888,0.28125,0.21472815708129289
H,H,1211.5276586285888,0.3125,0.20130009397027937
H,H,1211.5276586285888,0.34375,0.18964551496137538
H,H,1211.5276586285888,0.375,0.1793990139393089
H,H,1211.5276586285888,0.40625,0.17029374525174568
H,H,1211.5276586285888,0.4375,0.16212952839747752
H,H,1211.5276586285888,0.46875,0.15475274965118224
H,H,1211.5276586285888,0.5,0.14804322279532567
H,H,1211.5276586285888,0.5625,0.13626185980152217
H,H,1211.5276586285888,0.625,0.12621658731447294
H,H,1211.5276586285888,0.6875,0.1175198350946407
H,H,1211.5276586285888,0.75,0.10989676173684293
H,H,1211.5276586285888,0.8125,0.10314603374291353
H,H,1211.5276586285888,0.875,0.097116147601239877
H,H,1211.5276586285888,0.9375,0.091690489579720591
H,H,1211.5276586285888,1,0.086777553095513493
H,H,1333.5214321633241,0,3.1415926535897931
H,H,1333.5214321633241,4.76837158203125e-07,3.1174913283757193
H,H,1333.5214321633241,9.5367431640625e-07,3.1075098839225195
H,H,1333.5214321633241,1.9073486328125e-06,3.0933970079048159
H,H,1333.5214321633241,3.814697265625e-06,3.0734469180227846
H,H,1333.5214321633241,7.62939453125e-06,3.0452573269072873
H,H,1333.5214321633241,1.52587890625e-05,3.005459199011522
H,H,1333.5214321633241,3.0517578125e-05,2.9493673882950482
H,H,1333.5214321633241,6.103515625e-05,2.8705768131011014
H,H,1333.5214321633241,9.1552734375e-05,2.8106749299276155
H,H,1333.5214321633241,0.0001220703125,2.7606325820537765
H,H,1333.5214321633241,0.00018310546875,2.6777875118931735
H,H,1333.5214321633241,0.000244140625,2.6091721526078087
H,H,1333.5214321633241,0.0003662109375,2.4969585531731102
H,H,1333.5214321633241,0.00048828125,2.4054892877350809
H,H,1333.5214321633241,0.0006103515625,2.3274794211788423
H,H,1333.5214321633241,0.000732421875,2.2591355865338913
H,H,1333.5214321633241,0.0009765625,2.1430810971211947
H,H,1333.5214321633241,0.001220703125,2.0465538615639405
H,H,1333.5214321633241,0.00146484375,1.9639038489156047
H,H,1333.5214321633241,0.001708984375,1.8917159513325303
H,H,1333.5214321633241,0.001953125,1.8277362142216429
H,H,1333.5214321633241,0.00244140625,1.7185051893079213
H,H,1333.5214321633241,0.0029296875,1.627852691911198
H,H,1333.5214321633241,0.00341796875,1.5508025298549191
H,H,1333.5214321633241,0.00390625,1.484131226788926
H,H,1333.5214321633241,0.00439453125,1.4256252636560809
H,H,1333.5214321633241,0.0048828125,1.3736977012358313
H,H,1333.5214321633241,0.005859375,1.2851532637753909
H,H,1333.5214321633241,0.0068359375,1.2119916183682653
H,H,1333.5214321633241,0.0078125,1.1501606183691422
H,H,1333.5214321633241,0.0087890625,1.0969755896268185
H,H,1333.5214321633241,0.009765625,1.0505730343402973
H,H,1333.5214321633241,0.0107421875,1.0096112677384879
H,H,1333.5214321633241,0.01171875,0.97309528524960864
H,H,1333.5214321633241,0.0126953125,0.94026887820248195
H,H,1333.5214321633241,0.013671875,0.91054532598963833
H,H,1333.5214321633241,0.015625,0.85864521462475762
H,H,1333.5214321633241,0.017578125,0.81466270798041407
H,H,1333.5214321633241,0.01953125,0.77675844808245209
H,H,1333.5214321633241,0.021484375,0.7436419821150837
H,H,1333.5214321633241,0.0234375,0.71437728812266732
H,H,1333.5214321633241,0.025390625,0.68826650712983639
H,H,1333.5214321633241,0.02734375,0.66477719196377327
H,H,1333.5214321633241,0.03125,0.62409209252546161
H,H,1333.5214321633241,0.03515625,0.58991933998713142
H,H,1333.5214321633241,0.0390625,0.56067620574238708
H,H,1333.5214321633241,0.04296875,0.53527173563997277
H,H,1333.5214321633241,0.046875,0.51292612830606599
H,H,1333.5214321633241,0.05078125,0.49306513140371866
H,H,1333.5214321633241,0.0546875,0.47525519879037814
H,H,1333.5214321633241,0.0625,0.44452310691353825
H,H,1333.5214321633241,0.0703125,0.41881046017952306
H,H,1333.5214321633241,0.078125,0.39686893003550194
H,H,1333.5214321633241,0.0859375,0.37784670321515312
H,H,1333.5214321633241,0.09375,0.36113985571517304
H,H,1333.5214321633241,0.1015625,0.34630661938648277
H,H,1333.5214321633241,0.109375,0.33301532349152829
H,H,1333.5214321633241,0.1171875,0.32101141512495923
H,H,1333.5214321633241,0.125,0.31009580810037196
H,H,1333.5214321633241,0.140625,0.29092704120001089
H,H,1333.5214321633241,0.15625,0.27456900128282724
H,H,1333.5214321633241,0.171875,0.26038318508396419
H,H,1333.5214321633241,0.1875,0.24791846664411343
H,H,1333.5214321633241,0.203125,0.2368457162508335
H,H,1333.5214321633241,0.21875,0.22691832346979268
H,H,1333.5214321633241,0.234375,0.21794730311604527
H,H,1333.5214321633241,0.25,0.2097850144747162
H,H,1333.5214321633241,0.28125,0.19544026431120676
H,H,1333.5214321633241,0.3125,0.18318794081009893
H,H,1333.5214321633241,0.34375,0.17255538318861685
H,H,1333.5214321633241,0.375,0.163208573524527
H,H,1333.5214321633241,0.40625,0.15490367135976024
H,H,1333.5214321633241,0.4375,0.1474578038659593
H,H,1333.5214321633241,0.5,0.13461251683535425
H,H,1333.5214321633241,0.5625,0.12387075644101664
H,H,1333.5214321633241,0.625,0.11471320969372911
H,H,1333.5214321633241,0.6875,0.10678611713384267
H,H,1333.5214321633241,0.75,0.099838641605655809
H,H,1333.5214321633241,0.8125,0.093687047164546566
H,H,1333.5214321633241,0.875,0.088193079013298536
H,H,1333.5214321633241,1,0.078775282560992199
H,H,1467.799267622069,0,3.1415926535897931
H,H,1467.799267622069,4.76837158203125e-07,3.1150856929498008
H,H,1467.799267622069,9.5367431640625e-07,3.104108347646874
H,H,1467.799267622069,1.9073486328125e-06,3.0885880526623488
H,H,1467.799267622069,3.814697265625e-06,3.0666503897359276
H,H,1467.799267622069,7.62939453125e-06,3.0356578966728187
H,H,1467.799267622069,1.52587890625e-05,2.9919182450368091
H,H,1467.799267622069,3.0517578125e-05,2.9303149566315905
H,H,1467.799267622069,6.103515625e-05,2.8439038379949904
H,H,1467.799267622069,9.1552734375e-05,2.7783328928305533
H,H,1467.799267622069,0.0001220703125,2.7236556933313976
H,H,1467.799267622069,0.00018310546875,2.6333765817344741
H,H,1467.799267622069,0.000244140625,2.5588642176083267
H,H,1467.799267622069,0.0003662109375,2.4375974057307279
H,H,1467.799267622069,0.00048828125,2.3393628334819487
H,H,1467.799267622069,0.0006103515625,2.2560665619443818
H,H,1467.799267622069,0.000732421875,2.1834838046879437
H,H,1467.799267622069,0.0009765625,2.0611249547012251
H,H,1467.799267622069,0.001220703125,1.9602569522820432
H,H,1467.799267622069,0.00146484375,1.8745690527330277
H,H,1467.799267622069,0.001708984375,1.800252846668742
H,H,1467.799267622069,0.001953125,1.7348018390678084
H,H,1467.799267622069,0.002197265625,1.6764655898577314
H,H,1467.799267622069,0.00244140625,1.623967595587763
H,H,1467.799267622069,0.0029296875,1.5328553244864074
H,H,1467.799267622069,0.00341796875,1.4560306682226845
H,H,1467.799267622069,0.00390625,1.3900055503175124
H,H,1467.799267622069,0.00439453125,1.3324058342183949
H,H,1467.799267622069,0.0048828125,1.2815435164199518
H,H,1467.799267622069,0.00537109375,1.2361769906031714
H,H,1467.799267622069,0.005859375,1.1953677190354275
H,H,1467.799267622069,0.00634765625,1.1583900985857416
H,H,1467.799267622069,0.0068359375,1.1246724221548039
H,H,1467.799267622069,0.0078125,1.0652717159084597
H,H,1467.799267622069,0.0087890625,1.0144215637714797
H,H,1467.799267622069,0.009765625,0.97023443430719247
H,H,1467.799267622069,0.0107421875,0.93136189812581849
H,H,1467.799267622069,0.01171875,0.89681070299587562
H,H,1467.799267622069,0.0126953125,0.86583043979403485
H,H,1467.799267622069,0.013671875,0.83784192984482964
H,H,1467.799267622069,0.0146484375,0.81238991358633861
H,H,1467.799267622069,0.015625,0.78911083492905298
H,H,1467.799267622069,0.017578125,0.74794712014938769
H,H,1467.799267622069,0.01953125,0.71256562777673782
H,H,1467.799267622069,0.021484375,0.68172110720856649
H,H,1467.799267622069,0.0234375,0.65451466274792436
