cell_id,lat_deg,lon_w_deg,hemisphere,e_min_mev,e_max_mev,is_valid,n_assigned_bins
349,21,234,trailing,0.01,10.6540261,1,1069
350,21,246,trailing,0.01,11.7905962,1,1084
351,21,258,trailing,0.01,12.403572,1,1092
352,21,270,trailing,0.01,12.6342881,1,1095
353,21,282,trailing,0.01,12.403572,1,1092
354,21,294,trailing,0.01,11.7905962,1,1084
355,21,306,trailing,0.01,10.6540261,1,1069
356,21,318,trailing,0.01,8.57959393,1,1035
357,21,330,trailing,0.01,4.98136855,1,952
358,21,342,trailing,0.01,0.837177537,1,679
359,21,354,trailing,0.01,0.132308481,1,397
360,15,6,leading,43.6018578,100,1,128
361,15,18,leading,33.5834345,100,1,168
362,15,30,leading,29.533752,100,1,187
363,15,42,leading,27.5847937,100,1,198
364,15,54,leading,26.577975,100,1,203
365,15,66,leading,25.9902161,100,1,207
366,15,78,leading,25.7082858,100,1,209
367,15,90,leading,25.5995481,100,1,209
368,15,102,leading,25.7082858,100,1,209
369,15,114,leading,25.9902161,100,1,207
370,15,126,leading,26.577975,100,1,203
371,15,138,leading,27.5847937,100,1,198
372,15,150,leading,29.533752,100,1,187
373,15,162,leading,33.5834345,100,1,168
374,15,174,leading,43.6018578,100,1,128
375,15,186,trailing,0.01,0.730232899,1,658
376,15,198,trailing,0.01,8.08574404,1,1026
377,15,210,trailing,0.01,12.460853,1,1093
378,15,222,trailing,0.01,14.5741015,1,1117
379,15,234,trailing,0.01,15.6890916,1,1128
380,15,246,trailing,0.01,16.3533527,1,1134
381,15,258,trailing,0.01,16.6575377,1,1137
382,15,270,trailing,0.01,16.8117455,1,1138
383,15,282,trailing,0.01,16.6575377,1,1137
384,15,294,trailing,0.01,16.3533527,1,1134
385,15,306,trailing,0.01,15.6890916,1,1128
386,15,318,trailing,0.01,14.5741015,1,1117
387,15,330,trailing,0.01,12.460853,1,1093
388,15,342,trailing,0.01,8.08574404,1,1026
389,15,354,trailing,0.01,0.730232899,1,658
390,9,6,leading,31.9456807,100,1,175
391,9,18,leading,26.1192377,100,1,206
392,9,30,leading,24.3755,100,1,217
393,9,42,leading,23.6195509,100,1,221
394,9,54,leading,23.2041279,100,1,224
395,9,66,leading,22.9661585,100,1,226
396,9,78,leading,22.8605859,100,1,227
397,9,90,leading,22.8605859,100,1,227
398,9,102,leading,22.8605859,100,1,227
399,9,114,leading,22.9661585,100,1,226
400,9,126,leading,23.2041279,100,1,224
401,9,138,leading,23.6195509,100,1,221
402,9,150,leading,24.3755,100,1,217
403,9,162,leading,26.1192377,100,1,206
404,9,174,leading,31.9456807,100,1,175
405,9,186,trailing,0.01,10.1282552,1,1061
406,9,198,trailing,0.01,15.9074586,1,1130
407,9,210,trailing,0.01,17.9319209,1,1148
408,9,222,trailing,0.01,18.7774588,1,1155
409,9,234,trailing,0.01,19.2150634,1,1159
410,9,246,trailing,0.01,19.4825062,1,1161
411,9,258,trailing,0.01,19.5724784,1,1162
412,9,270,trailing,0.01,19.5724784,1,1162
413,9,282,trailing,0.01,19.5724784,1,1162
414,9,294,trailing,0.01,19.4825062,1,1161
415,9,306,trailing,0.01,19.2150634,1,1159
416,9,318,trailing,0.01,18.7774588,1,1155
417,9,330,trailing,0.01,17.9319209,1,1148
418,9,342,trailing,0.01,15.9074586,1,1130
419,9,354,trailing,0.01,10.1282552,1,1061
420,3,6,leading,22.8890486,100,1,226
421,3,18,leading,21.8626201,100,1,233
422,3,30,leading,21.6555122,100,1,235
